comments{
Author:ICsleep
LevelType:Gimmick,NoLevel
Length:Infinite
LevelType1:Gimmick
LevelType2:No Level
Asset:C:\Users\Panda\Documents\ManicMiners\Levels\ASSETS\Sounds\Tetris
Info:Well this is Tetris in MM ^^ have fun
This text i only readable on this screen atm anyway ;P
}
info{
rowcount:32
colcount:32
camerapos:Translation: X=4550.187 Y=4199.700 Z=329.700 Rotation: P=0.999994 Y=0.000000 R=0.000000 Scale X=1.000 Y=1.000 Z=1.000
biome:rock
creator:ICsleep
erosioninitialwaittime:10
version:2020-12-06-1
camerazoom:9900.0
}
tiles{
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,14,14,14,14,14,14,14,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,14,14,14,14,14,14,14,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,14,14,14,14,14,14,14,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,14,14,14,14,14,14,14,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,38,38,38,38,38,38,38,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,38,38,38,38,38,38,38,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,14,14,14,14,14,14,14,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,14,14,14,14,14,14,14,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,14,14,14,14,14,14,14,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,14,14,14,14,14,14,14,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,38,38,38,38,38,38,38,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,14,14,14,14,14,14,14,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,14,14,14,14,14,14,14,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,1,1,1,1,1,1,38,38,
38,14,14,14,14,14,14,14,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,1,1,1,1,1,1,38,38,
